img_path,label,ismale,iswhite,isblack
/home/work/juice/juiceMnt/sonder-zhen/fairness/dfd/crop_img/0_10_19__exit_phone_room__BVVPN5D5_101.png,1,1,1,-1
/home/work/juice/juiceMnt/sonder-zhen/fairness/dfd/crop_img/0_10_19__exit_phone_room__BVVPN5D5_111.png,1,1,1,-1
/home/work/juice/juiceMnt/sonder-zhen/fairness/dfd/crop_img/0_10_19__exit_phone_room__BVVPN5D5_11.png,1,1,1,-1
/home/work/juice/juiceMnt/sonder-zhen/fairness/dfd/crop_img/0_10_19__exit_phone_room__BVVPN5D5_121.png,1,1,1,-1
/home/work/juice/juiceMnt/sonder-zhen/fairness/dfd/crop_img/0_10_19__exit_phone_room__BVVPN5D5_131.png,1,1,1,-1
/home/work/juice/juiceMnt/sonder-zhen/fairness/dfd/crop_img/0_10_19__exit_phone_room__BVVPN5D5_141.png,1,1,1,-1
/home/work/juice/juiceMnt/sonder-zhen/fairness/dfd/crop_img/0_10_19__exit_phone_room__BVVPN5D5_151.png,1,1,1,-1
/home/work/juice/juiceMnt/sonder-zhen/fairness/dfd/crop_img/0_10_19__exit_phone_room__BVVPN5D5_161.png,1,1,1,-1
/home/work/juice/juiceMnt/sonder-zhen/fairness/dfd/crop_img/0_10_19__exit_phone_room__BVVPN5D5_171.png,1,1,1,-1
/home/work/juice/juiceMnt/sonder-zhen/fairness/dfd/crop_img/0_10_19__exit_phone_room__BVVPN5D5_181.png,1,1,1,-1
/home/work/juice/juiceMnt/sonder-zhen/fairness/dfd/crop_img/0_10_19__exit_phone_room__BVVPN5D5_191.png,1,1,1,-1
/home/work/juice/juiceMnt/sonder-zhen/fairness/dfd/crop_img/0_10_19__exit_phone_room__BVVPN5D5_1.png,1,1,1,-1
/home/work/juice/juiceMnt/sonder-zhen/fairness/dfd/crop_img/0_10_19__exit_phone_room__BVVPN5D5_201.png,1,1,1,-1
/home/work/juice/juiceMnt/sonder-zhen/fairness/dfd/crop_img/0_10_19__exit_phone_room__BVVPN5D5_211.png,1,1,1,-1
/home/work/juice/juiceMnt/sonder-zhen/fairness/dfd/crop_img/0_10_19__exit_phone_room__BVVPN5D5_21.png,1,1,1,-1
/home/work/juice/juiceMnt/sonder-zhen/fairness/dfd/crop_img/0_10_19__exit_phone_room__BVVPN5D5_221.png,1,1,1,-1
/home/work/juice/juiceMnt/sonder-zhen/fairness/dfd/crop_img/0_10_19__exit_phone_room__BVVPN5D5_231.png,1,1,1,-1
/home/work/juice/juiceMnt/sonder-zhen/fairness/dfd/crop_img/0_10_19__exit_phone_room__BVVPN5D5_241.png,1,1,1,-1
/home/work/juice/juiceMnt/sonder-zhen/fairness/dfd/crop_img/0_10_19__exit_phone_room__BVVPN5D5_251.png,1,1,1,-1
/home/work/juice/juiceMnt/sonder-zhen/fairness/dfd/crop_img/0_10_19__exit_phone_room__BVVPN5D5_261.png,1,1,1,-1
